DAYOFYEAR(pickup_datetime),avg(fare_amount)
1,11.656885574232577
2,11.000178620033427
3,10.74525304081741
4,10.840858255440512
5,10.630990583662424
6,10.714910943519241
7,10.424944852707435
8,10.440891023095192
9,10.624118019393947
10,10.61919671625062
11,10.627980342490975
12,10.568525867399554
13,10.759929051047754
14,10.68699579484521
15,10.769646839452399
16,10.849691254220525
17,10.761783561987702
18,10.76264670568485
19,10.733340125666382
20,10.744324136964034
21,10.627995668708246
22,10.559635140874745
23,10.872357324333507
24,10.652700328243572
25,10.67195666304965
26,10.525036887349323
27,10.559529095875602
28,10.797767469608115
29,10.829547047283747
30,10.822443705856289
31,10.873099118085065
32,10.857648341827229
33,10.600254803816453
34,10.892548131230825
35,11.000735302907664
36,10.634516861419574
37,11.016598419527034
38,10.980563235153994
39,10.604913263916144
40,10.558509123394977
41,10.842862929149506
42,10.899453362493265
43,11.085381507215502
44,10.977076527825664
45,10.961824490260671
46,10.901097557928868
47,10.763926623118493
48,10.964474872480153
49,10.887294087944827
50,10.975435335837028
51,10.963595211640062
52,10.96043848768291
53,10.987872729077239
54,10.804676964649818
55,11.382176054783196
56,10.762082463268621
57,10.999634058905574
58,11.175254557482232
59,11.037752887050585
60,11.117063050281214
61,11.08535538493241
62,11.036331543481081
63,11.006646284382077
64,11.026816959091127
65,11.297132858772017
66,11.101043361093407
67,11.150514540333486
68,11.149776260753528
69,11.140055034031446
70,11.097064557496076
71,11.216433919084553
72,11.163077052844022
73,11.230441211782937
74,11.287590895708254
75,11.270007164541934
76,11.386640769484469
77,11.163117016283634
78,11.223876943294924
79,11.353039724157076
80,11.352852713535485
81,11.335324304502604
82,11.171161632816894
83,11.149901851965064
84,11.031772582653009
85,11.102479251517297
86,11.293068033189053
87,11.164102191418742
88,11.085988727234996
89,11.114350482016425
90,11.186637136564356
91,11.188416923264636
92,11.26416693434028
93,11.269644332301723
94,11.161509310380408
95,11.257273974114392
96,11.338323368312434
97,11.185980449239429
98,11.111737179531076
99,11.234824952645079
100,11.362231974262354
101,11.391899095887696
102,11.360101279833298
103,11.161061610254595
104,11.252136554893385
105,11.16338261836374
106,11.195293871874552
107,11.427968978833762
108,11.338846299213047
109,11.26023977131558
110,11.086958768007216
111,11.363386246711471
112,11.16932603319592
113,11.225879524627992
114,11.482698885875314
115,11.423432146507015
116,11.498894563004555
117,11.480788342451005
118,11.33836748391882
119,11.27243801675696
120,11.500685737084023
121,11.648060969523325
122,11.515175790035448
123,11.8870368736403
124,11.300487008113866
125,11.366003145016137
126,11.280613160851845
127,11.525947518935956
128,11.58453024637035
129,11.459800460329117
130,11.496002629748187
131,11.44918199240311
132,11.585997580539383
133,11.529931360158514
134,11.71856103780796
135,11.78829304514691
136,11.805390125983944
137,11.82309040191026
138,11.7597141425477
139,11.638393310578262
140,11.714526365370466
141,11.839303851693789
142,11.738766834287038
143,11.67047776186261
144,11.50145800488742
145,11.490768700722287
146,11.474371788779308
147,11.465709701828402
148,11.580110902182755
149,11.660613604100908
150,11.621719764927098
151,11.845052417820407
152,11.621581183567143
153,11.560935494419809
154,11.395301762918168
155,11.58089177385079
156,11.661346449200453
157,11.618120426653674
158,11.551096666436445
159,11.491504838922552
160,11.56961505326309
161,11.51066345756595
162,11.54256829969496
163,11.669844029157685
164,11.543483007358375
165,11.547799715854635
166,11.484487360781605
167,11.527045427355075
168,11.457474445481122
169,11.546956944284448
170,11.640958307607653
171,11.509269727315843
172,11.450605806207006
173,11.409058635032011
174,11.405661773555234
175,11.452831903558456
176,11.74485537957785
177,11.788815853668163
178,11.69710224874603
179,11.632783095506996
180,11.588370562184217
181,11.440598184812098
182,11.13616718907961
183,11.076107085900116
184,11.13029804706731
185,10.966184327425681
186,11.040950443527105
187,10.824194004230069
188,10.767275841226054
189,10.862558528595311
190,11.015451117394235
191,11.13438739850358
192,11.175015457293119
193,11.08890008357419
194,11.020685598010639
195,11.107464879215495
196,11.079055109594062
197,11.15190938844396
198,11.194130454973957
199,11.253911234527022
200,11.120516878780615
201,11.185161715888398
202,11.128630010157364
203,10.98514769255718
204,11.081874402104177
205,11.176457259737889
206,11.234368084223586
207,11.241995047557
208,11.172516471122375
209,11.216183024909657
210,11.1195647608748
211,11.222848027947192
212,11.340392894806529
213,11.219237448277797
214,11.175162480477354
215,11.082647161277164
216,11.095671734800895
217,11.027107585617381
218,11.110613145494277
219,11.30431890501137
220,11.355300602415483
221,11.203611654198223
222,11.11798894097098
223,10.971979663420715
224,11.087494783668285
225,11.235163058743437
226,11.336439513484795
227,11.403388161127054
228,11.352995308143397
229,11.206241088346763
230,11.15338574616693
231,11.113785904413293
232,11.737726941243718
233,11.308066176602978
234,11.424760112039786
235,11.287643831967163
236,11.232058382676515
237,11.148101299720146
238,11.05695858426628
239,11.314751314302423
240,11.325931367235444
241,11.407701879123985
242,11.35098556516872
243,11.119663267216234
244,11.187374355700406
245,11.236029424699527
246,11.339954817870145
247,11.494685375656847
248,11.779882729702166
249,11.835251648145565
250,11.882261287607864
251,11.80930591390375
252,11.639162068093885
253,11.689597811049701
254,11.565227199292748
255,11.782569793821214
256,11.78885344029986
257,11.623762977317066
258,11.783611479007918
259,11.653570441600236
260,11.696358341989463
261,11.752340259334908
262,11.794743345027861
263,11.994051118047716
264,12.021489319203749
265,12.076029783874091
266,11.9969270504672
267,11.799100072308006
268,11.869438671478584
269,11.72318717262893
270,11.567933720031489
271,11.66451924244012
272,11.74387260157432
273,11.363079995853912
274,11.57564586524388
275,11.716077186896573
276,11.576108311958667
277,11.466439591669506
278,11.536018740482751
279,11.616836169736246
280,11.4998537434245
281,11.602333994119899
282,11.672700956934046
283,11.736295675606344
284,11.730624199804538
285,11.7648386656982
286,11.601915843424651
287,11.620501561438497
288,11.61026838889014
289,11.684216057165752
290,11.781208241996888
291,11.643004415617806
292,11.60538404413068
293,11.718650110916194
294,11.560449021108065
295,11.646805440554688
296,11.706689858607382
297,11.750945482200722
298,11.621726967684166
299,11.61470127541334
300,11.702375648489353
301,11.631677903283665
302,11.44258688581662
303,11.399549727450198
304,11.520663514858557
305,11.875566034203159
306,11.420763595534739
307,11.48721509391211
308,11.406625820222683
309,11.385918351143987
310,11.490434363557029
311,11.617341747955187
312,11.524930163528177
313,11.409961762663137
314,11.708735797612917
315,11.66187951033523
316,11.612147113231549
317,11.691020058593798
318,11.765687986680964
319,11.81268996233681
320,11.679681302112986
321,11.71664056206875
322,11.541457625864032
323,11.52661424643302
324,11.572081346519402
325,11.644216757795869
326,11.619735421075793
327,11.314589803878372
328,11.188796721563051
329,11.417278426754441
330,11.663509789616157
331,11.444722924241189
332,11.344637300315739
333,11.414321753309261
334,11.575928270632772
335,11.783494892661475
336,11.614368751969847
337,11.615213779001662
338,11.745910496356789
339,11.639990694175395
340,11.681201773877628
341,11.676482737338695
342,11.798605372722461
343,11.615888106773472
344,11.606633184997651
345,11.734171335988941
346,11.835226409687152
347,11.662544262182934
348,11.585094673570515
349,11.634381020974493
350,11.625519868203169
351,11.55037774358567
352,11.602415799577326
353,11.613092309760894
354,11.661018581567053
355,11.55390405935296
356,11.539187381310139
357,11.392771056096144
358,10.846281463161768
359,11.251121889542471
360,11.257319824911187
361,11.8277431500065
362,11.921990562037115
363,11.664767865485699
364,11.55018939039917
365,10.812398569105259
366,11.518314871271077
